order_id,order_status,dispatch_status,datetime,
14959,Un-Assigned,"Group ID 123: {process_status"":true","success:""Auto Dispatch Success""}""",03-08-2024 11:03
14959,Waiting Driver Response,API: Request Received,03-08-2024 11:08,
14959,Un-Assigned,AD:ranking_dispatch_subcon_comp: Sub Contract Company - No Vehicles,03-08-2024 11:13,
14959,Un-Assigned,AD:broadcast_subcon: Vehicle Group does not have subcon driver,03-08-2024 11:13,
14959,Un-Assigned,LBS: Auto Dispatch Automation Started,03-08-2024 11:33,
14959,Waiting Driver Response,LBS: Auto Dispatch Automation Ended,03-08-2024 11:33,
14959,Un-Assigned,"Group ID 123: {process_status"":true","success:""Auto Dispatch Success""}""",03-08-2024 11:33
14959,Waiting Driver Response,API: Request Received,03-08-2024 11:38,
14959,Un-Assigned,AD:ranking_dispatch_subcon_comp: Sub Contract Company - No Vehicles,03-08-2024 11:43,
14959,Un-Assigned,AD:broadcast_subcon: Vehicle Group does not have subcon driver,03-08-2024 11:43,
14959,Un-Assigned,LBS: Auto Dispatch Automation Started,03-08-2024 12:03,
14959,Waiting Driver Response,LBS: Auto Dispatch Automation Ended,03-08-2024 12:03,
14959,Un-Assigned,"Group ID 123: {process_status"":true","success:""Auto Dispatch Success""}""",03-08-2024 12:03
14959,Waiting Driver Response,API: Request Received,03-08-2024 12:08,
14959,Un-Assigned,AD:ranking_dispatch_subcon_comp: Sub Contract Company - No Vehicles,03-08-2024 12:13,
14959,Un-Assigned,AD:broadcast_subcon: Vehicle Group does not have subcon driver,03-08-2024 12:13,
14959,Un-Assigned,LBS: Auto Dispatch Automation Started,03-08-2024 12:34,
14959,Waiting Driver Response,LBS: Auto Dispatch Automation Ended,03-08-2024 12:34,
14959,Un-Assigned,"Group ID 123: {process_status"":true","success:""Auto Dispatch Success""}""",03-08-2024 12:34
14959,Waiting Driver Response,API: Request Received,03-08-2024 12:39,
14959,Un-Assigned,AD:ranking_dispatch_subcon_comp: Sub Contract Company - No Vehicles,03-08-2024 12:44,
14959,Un-Assigned,AD:broadcast_subcon: Vehicle Group does not have subcon driver,03-08-2024 12:44,
14959,Un-Assigned,LBS: Auto Dispatch Automation Started,03-08-2024 13:04,
